Min;Sec;Zone;Pass;Start;End;Protection;Contested;Speed;SF;Outcome;Opp
0;17;Opp10-22;0;26.697;29.345;2;none;2.648;DC;ground pass;WAS
0;23;Opp10-22;0;32.833;35.65;2;attempt;2.817;DC;ground pass;WAS
2;54;Own22-10;1;3.143;10.176;5;none;7.033;DC;box-kick;WAS
3;39;Own10-50;2;10.555;12.275;3;none;1.72;DC;ground pass;WAS
4;56;Own22;0;27.351;33.287;3;none;5.936;DC;ground pass;WAS
5;7;Own22;1;;;2;attempt;;;WAS penalty;WAS
5;56;Own10-50;0;26.959;33.991;3;none;7.032;DC;ground pass;WAS
6;6;Own10-50;1;36.895;45.655;4;attempt;8.76;DC;box-kick;WAS
10;7;Own10-50;0;44.654;49.35;3;attempt;4.696;DC;ground pass;WAS
10;14;Own10-50;1;51.932;59.228;3;none;7.296;DC;box-kick;WAS
11;3;Own10-50;1;40.973;46.347;2;attempt;5.374;DC;ground pass;WAS
11;12;Own10-50;1;49.39;51.766;2;none;2.376;DC;pick-and-go;WAS
11;16;Own10-50;0;54.06;57.356;2;attempt;3.296;Tom Lawday;ground pass;WAS
13;28;Own22-10;0;19.774;21.533;2;none;1.759;DC;ground pass;WAS
13;33;Own22-10;1;24.193;31.698;4;attempt;7.505;DC;box-kick;WAS
19;1;Own22;1;;;2;jackaled;;;jackaled;WAS
20;39;Opp22;2;37.724;44.245;3;attempt;6.521;Joe Marchant;pick-and-go;WAS
20;49;Opp22;0;47.482;53.61;3;attempt;6.128;DC;ground pass;WAS
20;58;Opp22;1;56.662;60.445;2;attempt;3.783;DC;ground pass;WAS
21;12;Opp22;1;10.763;13.164;3;none;2.401;DC;pick-and-go;WAS
22;14;Opp22;0;12.453;13.893;1;attempt;1.44;Stephan Lewies;pick-and-go;WAS
22;17;Opp22;0;15.552;18.08;1;attempt;2.528;DC;ground pass;WAS
22;24;Opp22;1;22.615;23.135;2;attempt;0.52;DC;pick-and-go;WAS
22;35;Opp22;1;33.623;36.343;2;attempt;2.72;DC;ground pass;WAS
22;39;Opp22;1;37.772;41.812;1;attempt;4.04;DC;pick-and-go;WAS
22;48;Opp22;1;46.78;50.54;2;attempt;3.76;DC;ground pass;WAS
22;55;Opp22;1;53.828;56.107;2;attempt;2.279;DC;ground pass;WAS
31;8;Opp50-10;3;15.361;17.449;1;none;2.088;DC;ground pass;WAS
31;14;Opp50-10;1;21.233;23.737;2;none;2.504;DC;ground pass;WAS
40;9;Own22;1;47.395;52.154;5;disruption;4.759;DC;box-kick;WAS
42;39;Own22;0;17.43;25.238;4;attempt;7.808;DC;ground pass;WAS
42;49;Own22;1;27.724;40.484;5;disruption;12.76;DC;box-kick;WAS
50;5;Opp22;3;1.871;6.574;3;attempt;4.703;DC;ground pass;WAS
50;14;Opp22;1;10.029;14.125;2;attempt;4.096;DC;ground pass;WAS
53;4;Own22-10;0;16.046;17.806;3;none;1.76;Jack Kenningham;pick-and-go;WAS
53;8;Own22-10;0;20.78;28.604;3;disruption;7.824;DC;ground pass;WAS
53;19;Own22-10;1;30.929;47.083;4;disruption;16.154;DC;box-kick;WAS
54;12;Own10-50;0;24.003;29.748;3;attempt;;;WAS penalty;WAS
58;44;Opp10-22;0;42.782;49.118;5;none;6.336;DC;ground pass;WAS
60;4;Opp22;1;11.1;13.732;2;attempt;2.632;DC;ground pass;WAS
60;10;Opp22;1;17.28;18.44;1;disruption;1.16;Stephan Lewies;pick-and-go;WAS
60;13;Opp22;0;20.181;22.621;2;attempt;2.44;DC;ground pass;WAS
60;18;Opp22;1;25.374;29.646;2;attempt;4.272;DC;ground pass;WAS
62;18;Own22-10;0;56.554;61.096;4;none;4.542;DC;ground pass;WAS
62;25;Own22-10;1;3.734;11.663;4;none;7.929;DC;box-kick;WAS
66;31;Opp10-22;0;9.604;13.644;2;disruption;4.04;Joe Marchant;ground pass;WAS
66;40;Opp10-22;1;18.651;20.371;2;none;1.72;Joe Marchant;ground pass;WAS
66;45;Opp10-22;1;24.352;26.152;2;none;1.8;DC;ground pass;WAS
66;53;Opp10-22;3;31.866;34.866;1;none;3;DC;ground pass;WAS
67;1;Opp10-22;1;39.416;41.36;2;none;1.944;DC;ground pass;WAS
67;11;Opp10-22;3;50.065;51.641;2;none;1.576;DC;ground pass;WAS
67;18;Opp10-22;2;56.869;61.565;2;attempt;4.696;DC;ground pass;WAS
68;12;Own22-10;0;48.11;53.07;3;none;4.96;DC;ground pass;WAS
68;20;Own22-10;1;55.615;78.766;5;disruption;23.151;DC;box-kick;WAS
69;34;Own10-50;0;;;4;attempt;;;HAR penalty;WAS
72;47;Own22-10;0;47.721;50.962;2;none;3.241;ML;ground pass;WAS
72;54;Own22-10;1;55.03;57.31;2;attempt;2.28;ML;ground pass;WAS
73;3;Own22-10;2;3.668;5.588;3;none;1.92;ML;ground pass;WAS
73;15;Opp10-22;4;16.064;18.184;3;disruption;2.12;Paul Lasike;pick-and-go;WAS
73;20;Opp10-22;0;;;2;attempt;;;jackaled;WAS
75;9;Own22-10;0;;;3;none;;;WAS penalty;WAS
75;57;Opp10-22;2;21.226;23.106;2;none;1.88;ML;ground pass;WAS
76;7;Opp22;3;31.483;33.251;3;none;1.768;ML;ground pass;WAS
76;13;Opp10-22;2;37.41;39.243;2;none;1.833;ML;ground pass;WAS
73;20;Opp10-22;2;43.69;47.177;2;none;3.487;ML;ground pass;WAS
76;26;Opp22;1;49.83;53.573;2;none;3.743;ML;ground pass;WAS
76;32;Opp10-22;1;56.454;58.094;2;none;1.64;ML;ground pass;WAS
77;41;Own22-10;0;58.868;62.908;3;attempt;4.04;ML;ground pass;WAS
77;49;Own22-10;1;6.835;8.49;1;none;1.655;ML;ground pass;WAS
79;1;Opp22;3;18.792;21.032;2;none;2.24;ML;ground pass;WAS
79;6;Opp22;1;23.64;27;2;none;3.36;ML;ground pass;WAS
79;12;Opp22;1;29.945;32.025;2;none;2.08;ML;ground pass;WAS
79;17;Opp22;1;34.763;38.123;2;attempt;3.36;ML;ground pass;WAS
79;23;Opp22;1;41.045;44.605;2;attempt;3.56;ML;ground pass;WAS
79;28;Opp22;1;46.309;48.029;1;attempt;1.72;ML;ground pass;WAS
79;34;Opp22;1;51.454;59.094;3;attempt;7.64;ML;ground pass;WAS
79;44;Opp22;1;1.415;3.735;2;none;2.32;ML;ground pass;WAS
79;49;Opp22;1;6.52;8.4;2;none;1.88;ML;ground pass;WAS
0;8;Own22;1;0.137;3.936;3;attempt;3.799;DC;box-kick;LEI
1;41;Opp10-22;3;32.842;34.882;3;none;2.04;DC;ground pass;LEI
1;49;Opp10-22;2;;;2;attempt;;;HAR penalty;LEI
5;36;Own22-10;1;28.356;30.976;2;attempt;2.62;DC;box-kick;LEI
7;18;Opp50-10;1;;;2;attempt;;;HAR penalty;LEI
11;26;Opp50-10;0;17.928;21.036;3;none;3.108;DC;ground pass;LEI
11;34;Opp50-10;3;25.503;27.543;1;none;2.04;DC;ground pass;LEI
11;41;Opp10-22;2;32.977;35.697;2;attempt;2.72;DC;ground pass;LEI
11;48;Opp10-22;2;39.676;40.416;1;none;0.74;DC;ground pass;LEI
11;52;Opp10-22;2;44.087;46.467;2;attempt;2.38;DC;ground pass;LEI
14;53;Own22-10;3;;;0;jackaled;;;jackaled;LEI
15;13;Own22-10;1;;;2;attempt;;;HAR penalty;LEI
16;23;Own10-50;0;9.729;12.709;4;none;2.98;DC;ground pass;LEI
16;29;Own10-50;1;16.187;18.187;2;none;2;DC;ground pass;LEI
21;2;Opp22;4;48.367;51.967;2;none;3.6;DC;ground pass;LEI
21;9;Opp22;2;56.232;57.632;3;attempt;1.4;DC;ground pass;LEI
21;15;Opp22;1;1.448;4.168;3;attempt;2.72;DC;ground pass;LEI
21;22;Opp22;2;9.148;14.288;3;none;5.14;DC;ground pass;LEI
21;31;Opp22;1;17.59;19.09;2;attempt;1.5;DC;ground pass;LEI
21;36;Opp22;1;22.503;24.991;2;attempt;2.488;DC;ground pass;LEI
21;42;Opp22;2;;;1;jackaled;;;jackaled;LEI
24;29;Own22;0;41.752;49.57;4;attempt;7.818;DC;box-kick;LEI
27;14;Own22-10;0;36.089;37.989;3;none;1.9;Matt Symons;ground pass;LEI
27;22;Own10-50;1;43.548;47.908;3;none;4.36;Marcus Smith;ground pass;LEI
27;29;Own22-10;1;51.177;61.403;4;attempt;10.226;DC;box-kick;LEI
28;0;Own10-50;2;22.214;24.154;1;none;1.94;DC;ground pass;LEI
28;49;Own22;0;0.008;5.068;3;attempt;5.06;Joe Marler;ground pass;LEI
28;58;Own22-10;1;8.796;14.496;2;none;5.7;DC;ground pass;LEI
29;6;Own22;1;16.933;24.082;4;attempt;7.149;DC;ground pass;LEI
29;22;Own22;3;33.077;40.617;3;disruption;7.54;DC;ground pass;LEI
29;34;Own22;1;;;3;attempt;;;HAR penalty;LEI
32;22;Own10-50;0;;;3;attempt;;;LEI penalty;LEI
33;59;Opp22;0;56.96;62.78;2;attempt;5.82;Scott Baldwin;ground pass;LEI
34;9;Opp22;1;;;4;none;;;knockon on floor;LEI
36;11;Opp10-22;1;1.394;2.494;3;none;1.1;DC;ground pass;LEI
37;27;Own22-10;0;17.488;23.748;4;none;6.26;Joe Marler;pick-and-go;LEI
37;36;Own22-10;0;25.869;33.009;4;none;7.14;DC;box-kick;LEI
41;59;Own22;0;34.701;42.757;3;disruption;8.056;Scott Baldwin;ground pass;LEI
42;10;Own22;1;;;3;attempt;;;HAR penalty;LEI
44;20;Opp50-10;0;55.68;58.755;2;attempt;3.075;DC;ground pass;LEI
44;27;Opp50-10;2;2.675;4.555;2;none;1.88;DC;ground pass;LEI
44;34;Opp50-10;1;9.284;11.488;1;none;2.204;DC;ground pass;LEI
44;39;Opp50-10;1;14.839;16.867;2;none;2.028;DC;ground pass;LEI
48;10;Opp50-10;3;56.805;59.225;2;attempt;2.42;DC;ground pass;LEI
48;15;Opp50-10;2;2.69;5.089;2;none;2.399;DC;ground pass;LEI
48;21;Opp10-22;2;8.557;12.957;3;attempt;4.4;DC;ground pass;LEI
48;30;Opp10-22;2;17.706;20.146;2;attempt;2.44;DC;ground pass;LEI
48;38;Opp10-22;1;24.857;26.564;2;none;1.707;DC;ground pass;LEI
48;44;Opp10-22;1;30.928;32.656;2;none;1.728;DC;ground pass;LEI
48;49;Opp10-22;2;36.488;38.892;2;none;2.404;DC;ground pass;LEI
48;59;Opp10-22;1;45.854;48.946;2;none;3.092;DC;ground pass;LEI
49;5;Opp10-22;2;;;2;attempt;;;HAR penalty;LEI
51;26;Opp10-22;2;12.748;14.868;2;none;2.12;DC;ground pass;LEI
51;37;Opp22;3;23.951;26.771;4;none;2.82;DC;ground pass;LEI
51;43;Opp22;2;29.903;31.874;1;none;1.971;DC;ground pass;LEI
51;48;Opp22;1;35.108;36.968;3;none;1.86;DC;ground pass;LEI
51;53;Opp22;1;40.28;42.74;4;none;2.46;DC;ground pass;LEI
51;58;Opp22;1;45.384;47.144;1;none;1.76;Stephan Lewies;pick-and-go;LEI
52;2;Opp22;0;48.973;51.285;1;none;2.312;James Chisolm;pick-and-go;LEI
52;6;Opp22;0;53.466;56.958;3;attempt;3.492;Alex Dombrandt;pick-and-go;LEI
52;12;Opp22;0;59.002;65.162;3;none;6.16;DC;ground pass;LEI
57;35;Opp10-22;2;18.186;20.666;4;attempt;2.48;DC;ground pass;LEI
57;41;Opp10-22;1;24.462;25.982;1;none;1.52;DC;ground pass;LEI
57;49;Opp10-22;1;32.127;34.227;3;none;2.1;DC;ground pass;LEI
57;54;Opp10-22;1;37.141;38.661;2;none;1.52;DC;ground pass;LEI
57;59;Opp10-22;1;42.491;46.231;2;attempt;3.74;DC;ground pass;LEI
58;7;Opp10-22;2;50.325;52.445;2;none;2.12;DC;ground pass;LEI
58;12;Opp10-22;1;56.041;59.201;3;attempt;3.16;DC;ground pass;LEI
58;20;Opp50-10;2;;;;jackaled;;;jackaled;LEI
58;55;Own22-10;0;38.584;46.736;3;attempt;8.152;DC;ground pass;LEI
59;6;Own22;1;49.832;57.436;5;none;7.604;DC;box-kick;LEI
